,pp_host_prob_prov,pp_1hi_starid,pp_1hi_rel_prob,pp_2hi_rel_prob,pp_unk_rel_prob,pp_1hi_ra,pp_1hi_mod_depth,pp_2hi_starid,pp_host_rel_prob_err,pp_host_prob_score,pp_unk_rel_prob_err,pp_2hi_rel_prob_err,pp_1hi_rel_prob_err,pp_host_prior_prob,pp_koi_time0bk,pp_2hi_dec,pp_koi_period,pp_1hi_prob_prov,pp_dv_run_id,pp_host_rel_prob,pp_2hi_prob_prov,pp_bkgd_density,pp_1hi_dec,pp_2hi_mod_depth,pp_koi_depth,pp_2hi_ra,pp_1hi_kepmag,pp_2hi_kepmag
K00061.01,PROB,UKIRT 44117911478813,1.0,1.4e-101,1.492e-06,296.9345,1265058.0,KIC 8248931,3e-103,1.0,3.074e-08,3e-103,0.024,0.76,132.866,44.1594,1.63,UKIRT,dr25,1.4e-101,KIC,1.035e-05,44.1623,755626.0,177.0,296.9338,18.83,16.88
K00063.01,PROB,KIC 11554435,1.0,,3.415e-07,289.2262,25051.0,,0.01,1.0,3.002e-09,,0.01,0.91,140.1062,,9.43,KIC,dr25,1.0,,3.29e-06,49.5482,,4056.0,,11.58,
K00064.01,PROB,KIC 7051180,1.0,,1.033e-06,296.5106,8330.0,,0.0044,1.0,3.951e-09,,0.0044,0.75,132.1785,,1.95,KIC,dr25,1.0,,1.263e-05,42.5474,,1128.0,,13.14,
K00065.01,PROB,KIC 10223615,1.0,1.4e-09,9.319e-05,297.3906,423.0,KIC 10223629,0.028,0.03,2.282e-06,1.3e-10,0.028,0.8,176.5278,47.2243,27.25,KIC,dr25,1.0,KIC,7.909e-06,47.2239,1989271.0,23.0,297.394,11.68,19.31
K00066.01,PROB,KIC 10620329,1.0,,3.298e-05,298.7092,3812.0,,0.051,0.64,1.445e-06,,0.051,0.79,132.3128,,0.87,KIC,dr25,1.0,,7.825e-06,47.84,,204.0,,11.0,
K00068.01,PROB,hiresKIC 22000574,0.96,0.043,2.691e-06,281.8928,93763.0,KIC 8669092,0.0026,0.56,4.616e-08,0.0026,0.019,0.94,131.7956,44.8275,0.5,hiresKIC,dr25,0.043,KIC,3.174e-06,44.8274,8951.0,81.0,281.8931,15.28,12.73
K00069.01,FAILED,,,,,,,,,0.0,,,,0.8,,,,,dr25,,,,,,,,,
K00070.01,PROB,KIC 6850504,1.0,4.5e-62,1.496e-06,287.698,7740.0,UKIRT 44117913978465,0.017,1.0,2.18e-08,4.5e-62,0.017,0.88,138.6079,42.3393,10.85,KIC,dr25,1.0,UKIRT,4.872e-06,42.3387,630367.0,1035.0,287.6991,12.5,17.15
K00070.02,PROB,KIC 6850504,1.0,4.2e-59,1.642e-06,287.698,3127.0,UKIRT 44117913978465,0.023,1.0,3.249e-08,7.8e-59,0.023,0.88,134.5017,42.3393,3.7,KIC,dr25,1.0,UKIRT,4.872e-06,42.3387,261839.0,377.0,287.6991,12.5,17.15
K00070.03,PROB,KIC 6850504,1.0,2e-19,5.514e-06,287.698,4256.0,UKIRT 44117913978465,0.016,1.0,7.67e-08,7.3e-20,0.016,0.88,164.7273,42.3393,77.61,KIC,dr25,1.0,UKIRT,4.872e-06,42.3387,366790.0,835.0,287.6991,12.5,17.15
K00070.04,PROB,KIC 6850504,1.0,0.00028,2.549e-05,287.698,798.0,UKIRT 44117913978465,0.016,1.0,3.604e-07,3.4e-05,0.016,0.88,135.9301,42.3393,6.1,KIC,dr25,1.0,UKIRT,4.872e-06,42.3387,73305.0,72.0,287.6991,12.5,17.15
K00070.05,PROB,KIC 6850504,0.94,0.062,7.451e-05,287.698,789.0,UKIRT 44117913978465,0.015,0.88,1.048e-06,0.0029,0.015,0.88,135.2125,42.3393,19.58,KIC,dr25,0.94,UKIRT,4.872e-06,42.3387,64708.0,93.0,287.6991,12.5,17.15
K00072.01,PROB,KIC 11904151,1.0,4.7e-81,8.1e-06,285.6794,1335.0,KIC 11904160,0.044,0.97,3.108e-07,2.1e-80,0.044,0.93,131.5791,50.2425,0.84,KIC,dr25,1.0,KIC,2.245e-06,50.2413,232511.0,41.0,285.6808,10.96,16.41
K00072.02,PROB,KIC 11904151,1.0,3.9e-29,1.355e-05,285.6794,2886.0,KIC 11904160,0.046,1.0,5.366e-07,1.5e-28,0.046,0.93,138.6776,50.2425,45.29,KIC,dr25,1.0,KIC,2.245e-06,50.2413,507761.0,489.0,285.6808,10.96,16.41
K00074.01,PROB,KIC 6889235,1.0,0.0,9.188e-05,298.3242,7016.0,KIC 6889220,0.043,0.44,3.447e-06,9.7e-71,0.043,0.71,133.6635,42.3897,2.59,KIC,dr25,1.0,KIC,1.248e-05,42.3885,2179171.0,490.0,298.3199,10.96,14.57
K00075.01,PROB,KIC 7199397,0.95,0.045,0.0001507,291.4972,551.0,UKIRT 44117912681464,0.038,0.82,5.147e-06,0.003,0.038,0.84,156.9885,42.728,105.88,KIC,dr25,0.95,UKIRT,5.174e-06,42.7285,190734.0,1588.0,291.4983,10.78,17.11
K00076.01,PROB,KIC 9955262,1.0,,0.0001218,293.542,5596.0,,0.03,0.01,3.198e-06,,0.03,0.85,154.7041,,77.48,KIC,dr25,1.0,,3.962e-06,46.8221,,1296.0,,10.14,
K00080.01,PROB,KIC 9552608,1.0,3.5e-101,4.161e-06,300.5376,8911.0,KIC 9552600,0.01,1.0,3.78e-08,3.2e-103,0.01,0.72,135.4076,46.1028,9.25,KIC,dr25,1.0,KIC,1.182e-05,46.1043,769184.0,1030.0,300.536,11.31,15.67
K00081.01,PROB,KIC 8823868,1.0,,2.3e-05,293.7857,10927.0,,0.027,0.95,5.295e-07,,0.027,0.83,143.0699,,23.88,KIC,dr25,1.0,,6.238e-06,45.0185,,1631.0,,11.41,
K00082.01,PROB,KIC 10187017,1.0,,6.172e-07,281.4827,7112.0,,0.017,1.0,9.251e-09,,0.017,0.94,134.7546,,16.15,KIC,dr25,1.0,,2.18e-06,47.208,,944.0,,11.49,
K00082.02,PROB,KIC 10187017,1.0,,3.827e-06,281.4827,1704.0,,0.033,1.0,1.087e-07,,0.033,0.94,134.0809,,10.31,KIC,dr25,1.0,,2.18e-06,47.208,,271.0,,11.49,
K00082.03,PROB,KIC 10187017,1.0,,1.723e-05,281.4827,589.0,,0.011,0.99,1.66e-07,,0.011,0.94,145.0228,,27.45,KIC,dr25,1.0,,2.18e-06,47.208,,140.0,,11.49,
K00082.04,PROB,KIC 10187017,1.0,7.7e-12,9.985e-06,281.4827,433.0,UKIRT 44117907093932,0.018,1.0,1.574e-07,2.2e-12,0.018,0.94,132.9184,47.2068,7.07,KIC,dr25,1.0,UKIRT,2.18e-06,47.208,2246387.0,64.0,281.4843,11.49,20.77
K00082.05,PROB,KIC 10187017,1.0,7e-08,1.85e-05,281.4827,255.0,UKIRT 44117907093932,0.023,0.88,3.645e-07,3.4e-08,0.023,0.94,135.8484,47.2068,5.29,KIC,dr25,1.0,UKIRT,2.18e-06,47.208,1340711.0,41.0,281.4843,11.49,20.77
K00082.06,FAILED,,,,,,,,,0.0,,,,0.94,,,,,dr25,,,,,,,,,
K00084.01,PROB,KIC 2571238,1.0,,5.952e-06,290.4208,5057.0,,0.022,1.0,1.139e-07,,0.022,0.8,135.9939,,9.29,KIC,dr25,1.0,,7.791e-06,37.8518,,688.0,,11.9,
K00085.01,PROB,KIC 5866724,1.0,,5.737e-05,288.6887,2441.0,,0.035,0.67,1.755e-06,,0.035,0.86,132.0399,,5.86,KIC,dr25,1.0,,4.468e-06,41.1512,,319.0,,11.02,
K00085.02,PROB,KIC 5866724,1.0,,4.564e-05,288.6887,742.0,,0.023,0.67,9.249e-07,,0.023,0.86,133.5015,,2.15,KIC,dr25,1.0,,4.468e-06,41.1512,,84.0,,11.02,
K00085.03,PROB,KIC 5866724,1.0,,4.662e-05,288.6887,837.0,,0.024,0.78,9.736e-07,,0.024,0.86,137.9915,,8.13,KIC,dr25,1.0,,4.468e-06,41.1512,,107.0,,11.02,
K00087.01,PROB,KIC 10593626,1.0,1.8e-23,3.09e-07,289.2175,725.0,hiresKIC 22000759,6.2e-16,1.0,3.094e-21,9.8e-39,6.2e-16,0.9,133.6911,47.8848,289.87,KIC,dr25,1.0,hiresKIC,3.608e-06,47.8845,1700687.0,519.0,289.2197,11.66,20.1
K00088.01,PROB,KIC 7700879,1.1e-14,0.0,1.0,297.3226,248035.0,KIC 7700871,1.3e-109,1.0,1.419e-14,1.3e-109,1.2e-15,0.74,133.8825,43.3327,2.59,KIC,dr25,0.0,KIC,1.125e-05,43.3328,863.0,77.0,297.3198,16.36,11.87
K00089.01,PROB,KIC 8056665,1.0,1.2e-05,6.028e-05,299.8212,1559.0,UKIRT 44117911118419,0.029,1.0,1.534e-06,2e-06,0.029,0.7,150.5733,43.8143,84.69,KIC,dr25,1.0,UKIRT,1.414e-05,43.8143,2655756.0,349.0,299.8228,11.64,19.72
K00089.02,PROB,KIC 8056665,1.0,1.6e-09,2.578e-05,299.8212,1360.0,UKIRT 44117911118417,0.032,1.0,7.176e-07,6.4e-10,0.032,0.7,289.8632,43.8131,207.59,KIC,dr25,1.0,UKIRT,1.414e-05,43.8143,2380776.0,492.0,299.8212,11.64,19.75
K00090.01,MATCH,KIC 9210823,2.6e-95,,1.0,288.4415,865.0,,3.7e-109,0.0,1.414e-14,,3.7e-109,0.89,131.5875,,0.83,KIC,dr25,2.6e-95,,3.851e-06,45.609,,62.0,,11.74,
K00092.01,PROB,KIC 7941200,1.0,,5.22e-06,283.3748,4496.0,,0.022,1.0,9.792e-08,,0.022,0.92,137.4419,,65.7,KIC,dr25,1.0,,2.808e-06,43.7882,,648.0,,11.67,
K00094.01,PROB,KIC 6462863,1.0,1e-101,1.382e-06,297.3331,39248.0,KIC 6462874,0.0098,1.0,1.172e-08,8.8e-104,0.0098,0.72,132.7419,41.8905,22.34,KIC,dr25,1.0,KIC,1.327e-05,41.8911,1382408.0,5649.0,297.3356,12.21,15.72
K00094.02,PROB,KIC 6462863,1.0,7.6e-101,1.013e-05,297.3331,5358.0,KIC 6462870,0.022,1.0,1.911e-07,1.4e-102,0.022,0.72,138.0088,41.8933,10.42,KIC,dr25,1.0,KIC,1.327e-05,41.8911,1353364.0,781.0,297.335,12.21,16.96
K00094.03,PROB,KIC 6462863,1.0,7.1e-101,9.365e-06,297.3331,15265.0,KIC 6462870,0.035,1.0,2.823e-07,2.1e-102,0.035,0.72,161.2371,41.8933,54.32,KIC,dr25,1.0,KIC,1.327e-05,41.8911,1913821.0,1956.0,297.335,12.21,16.96
K00094.04,PROB,KIC 6462863,1.0,6.1e-45,2.998e-05,297.3331,933.0,UKIRT 44117914185903,0.02,1.0,5.294e-07,6.4e-45,0.02,0.72,131.6206,41.8904,3.74,KIC,dr25,1.0,UKIRT,1.327e-05,41.8911,1505187.0,124.0,297.3306,12.21,19.45
K00097.01,PROB,KIC 5780885,1.0,5.1e-87,3.678e-07,288.5815,61464.0,hiresKIC 22000273,0.002,1.0,6.244e-10,4.1e-88,0.002,0.86,134.277,41.0897,4.89,KIC,dr25,1.0,hiresKIC,6.024e-06,41.0898,2896665.0,7471.0,288.5822,12.88,17.09
K00098.01,PROB,KIC 10264660,0.71,0.29,4.961e-06,287.7088,30854.0,hiresKIC 22000729,0.03,1.0,1.74e-07,0.013,0.03,0.91,138.0883,47.333,6.79,KIC,dr25,0.71,hiresKIC,3.615e-06,47.3331,40364.0,2237.0,287.7089,12.13,12.42
K00099.01,FAILED,,,,,,,,,0.0,,,,0.8,,,,,dr25,,,,,,,,,
K00099.02,PROB,KIC 8505215,1.0,1.8e-05,0.002459,295.4343,395.0,hiresKIC 22000557,0.0064,0.0,1.361e-05,2.2e-07,0.0064,0.8,184.7614,44.5318,79.88,KIC,dr25,1.0,hiresKIC,9.439e-06,44.5311,296591.0,78.0,295.4354,12.96,19.99
K00100.01,PROB,KIC 4055765,1.0,2.5e-25,4.27e-06,291.1779,11098.0,hiresKIC 22000100,0.036,1.0,1.337e-07,1.3e-25,0.036,0.81,141.1532,39.199,9.97,KIC,dr25,1.0,hiresKIC,8.433e-06,39.1995,2852079.0,1630.0,291.1784,12.6,18.63
K00102.01,FAILED,,,,,,,,,0.0,,,,0.71,,,,,dr25,,,,,,,,,
K00102.02,FAILED,,,,,,,,,0.0,,,,0.71,,,,,dr25,,,,,,,,,
K00103.01,PROB,KIC 2444412,1.0,5.1e-101,5.015e-06,291.6834,6918.0,KIC 2444418,0.018,1.0,7.751e-08,7.8e-103,0.018,0.78,141.3295,37.7542,14.91,KIC,dr25,1.0,KIC,9.929e-06,37.7516,1279483.0,864.0,291.6839,12.59,18.1
K00104.01,PROB,KIC 10318874,1.0,,4.414e-07,281.1947,11790.0,,0.011,1.0,4.355e-09,,0.011,0.95,132.4912,,2.51,KIC,dr25,1.0,,3.037e-06,47.4971,,1476.0,,12.89,
K00105.01,PROB,KIC 8711794,1.0,1.2e-05,4.12e-06,298.937,8629.0,hiresKIC 22000583,0.028,1.0,9.837e-08,4.2e-06,0.028,0.74,136.6501,44.8577,8.98,KIC,dr25,1.0,hiresKIC,1.304e-05,44.8579,161486.0,1057.0,298.9372,12.87,16.04
K00106.01,MATCH,KIC 10489525,1e-95,1e-95,1.0,298.3543,1027.0,KIC 10489529,1.5e-109,0.64,1.414e-14,1.5e-109,1.5e-109,0.79,131.8676,47.6741,1.61,KIC,dr25,1e-95,KIC,9.61e-06,47.6721,248402.0,100.0,298.3553,12.78,16.98
K00107.01,PROB,KIC 11250587,1.0,3e-48,2.414e-06,294.8352,3212.0,UKIRT 44117905447464,0.02,1.0,4.082e-08,5.7e-48,0.02,0.85,134.0236,48.9824,7.26,KIC,dr25,1.0,UKIRT,6.325e-06,48.9824,205955.0,462.0,294.8341,12.7,17.12
K00108.01,PROB,KIC 4914423,1.0,,3.232e-06,288.9846,3802.0,,0.014,1.0,3.831e-08,,0.014,0.85,142.177,,15.97,KIC,dr25,1.0,,6.03e-06,40.0645,,480.0,,12.29,
K00108.02,PROB,KIC 4914423,1.0,8.2e-46,1.797e-06,288.9846,1082.0,hiresKIC 22000164,0.022,1.0,3.455e-08,9.3e-46,0.022,0.85,295.3342,40.0647,179.61,KIC,dr25,1.0,hiresKIC,6.03e-06,40.0645,1459886.0,1272.0,288.9854,12.29,20.12
K00109.01,PROB,KIC 4752452,0.97,3e-97,0.03023,293.4545,1130379.0,KIC 4752445,8.2e-99,1.0,0.0008344,8.2e-99,0.031,0.77,132.8656,39.8051,6.41,KIC,dr25,3e-97,KIC,1.018e-05,39.8059,2230831.0,152.0,293.4518,17.48,18.21
K00110.01,PROB,KIC 9450647,1.0,,2.072e-06,284.5557,4041.0,,0.017,1.0,3.038e-08,,0.017,0.92,135.2158,,9.94,KIC,dr25,1.0,,3.473e-06,46.0638,,521.0,,12.66,
K00111.01,PROB,KIC 6678383,1.0,3.3e-13,2.395e-06,287.6046,3868.0,hiresKIC 22000388,0.032,1.0,6.573e-08,4.5e-13,0.032,0.88,137.6133,42.1663,11.43,KIC,dr25,1.0,hiresKIC,4.962e-06,42.1668,1167356.0,493.0,287.6045,12.6,18.8
K00111.02,PROB,KIC 6678383,1.0,1.2e-05,6.077e-06,287.6046,3226.0,hiresKIC 22000388,0.019,1.0,1.004e-07,2.5e-06,0.019,0.88,132.7132,42.1663,23.67,KIC,dr25,1.0,hiresKIC,4.962e-06,42.1668,981087.0,449.0,287.6045,12.6,18.8
K00111.03,PROB,KIC 6678383,1.0,7.1e-10,2.431e-06,287.6046,3923.0,hiresKIC 22000388,0.015,1.0,3.151e-08,2.4e-10,0.015,0.88,167.5775,42.1663,51.76,KIC,dr25,1.0,hiresKIC,4.962e-06,42.1668,1186844.0,600.0,287.6045,12.6,18.8
K00111.04,PROB,KIC 6678383,1.0,4e-05,4.081e-06,287.6046,3029.0,hiresKIC 22000388,0.013,1.0,4.759e-08,6.6e-06,0.013,0.88,426.3537,42.1663,103.51,KIC,dr25,1.0,hiresKIC,4.962e-06,42.1668,916132.0,599.0,287.6045,12.6,18.8
K00112.01,PROB,hiresKIC 22000778,0.53,0.47,3.063e-06,295.6488,20853.0,KIC 10984090,0.015,1.0,7.767e-08,0.015,0.016,0.84,134.1014,48.4956,51.08,hiresKIC,dr25,0.47,KIC,7.07e-06,48.4955,6888.0,742.0,295.6487,13.97,12.77
K00112.02,PROB,hiresKIC 22000778,0.53,0.47,8.386e-06,295.6488,3846.0,KIC 10984090,0.0088,1.0,1.22e-07,0.0088,0.0094,0.84,133.988,48.4956,3.71,hiresKIC,dr25,0.47,KIC,7.07e-06,48.4955,1270.0,126.0,295.6487,13.97,12.77
K00113.01,PROB,KIC 2306756,0.75,0.25,7.99e-08,292.2737,50177.0,hiresKIC 22000012,2.2e-16,1.0,7.992e-22,1.3e-16,2.2e-16,0.77,166.3423,37.6715,386.6,KIC,dr25,0.75,hiresKIC,1.048e-05,37.6716,134787.0,24250.0,292.2737,12.39,13.47
K00114.01,PROB,UKIRT 44117913625426,1.0,1.2e-101,2.002e-06,298.8626,1946240.0,KIC 6721123,2e-103,1.0,3.19e-08,2e-103,0.018,0.69,132.2494,42.1516,7.36,UKIRT,dr25,1.2e-101,KIC,1.617e-05,42.1537,2063.0,231.0,298.8643,18.73,12.66
K00115.01,PROB,KIC 9579641,1.0,2.6e-61,1.191e-06,287.8873,4751.0,UKIRT 44117907806126,0.009,1.0,9.308e-09,6.8e-61,0.009,0.9,133.1448,46.2751,5.41,KIC,dr25,1.0,UKIRT,4.365e-06,46.2762,1525459.0,600.0,287.8879,12.79,19.0
K00115.02,PROB,KIC 9579641,1.0,4.2e-05,9.16e-06,287.8873,1283.0,hiresKIC 22000664,0.017,1.0,1.361e-07,5.7e-06,0.017,0.9,131.8788,46.2757,7.13,KIC,dr25,1.0,hiresKIC,4.365e-06,46.2762,1611695.0,185.0,287.888,12.79,20.54
K00115.03,PROB,KIC 9579641,0.78,0.18,0.0001168,287.8873,186.0,hiresKIC 22000664,0.015,0.44,1.931e-06,0.0056,0.015,0.9,132.6622,46.2757,3.44,KIC,dr25,0.78,hiresKIC,4.365e-06,46.2762,259297.0,25.0,287.888,12.79,20.54
K00116.01,PROB,KIC 8395660,1.0,7.8e-67,1.783e-05,300.864,4330.0,KIC 8395658,0.016,1.0,2.52e-07,3.3e-66,0.016,0.68,136.2793,44.3396,13.57,KIC,dr25,1.0,KIC,1.688e-05,44.3376,780394.0,518.0,300.8635,12.88,17.3
K00116.02,PROB,KIC 8395660,1.0,4.4e-62,2.997e-05,300.864,4178.0,KIC 8395658,0.017,1.0,4.397e-07,1.6e-61,0.017,0.68,151.9346,44.3396,43.84,KIC,dr25,1.0,KIC,1.688e-05,44.3376,785812.0,613.0,300.8635,12.88,17.3
K00116.03,PROB,KIC 8395660,0.99,0.0025,0.0005155,300.864,634.0,UKIRT 44117910584288,0.018,0.33,7.986e-06,0.00025,0.018,0.68,135.6462,44.3371,6.16,KIC,dr25,0.99,UKIRT,1.688e-05,44.3376,1442151.0,55.0,300.867,12.88,20.2
K00116.04,PROB,KIC 8395660,0.97,0.031,0.00065,300.864,567.0,UKIRT 44117910584288,0.014,0.12,8.063e-06,0.0015,0.014,0.68,147.5391,44.3371,23.98,KIC,dr25,0.97,UKIRT,1.688e-05,44.3376,1100604.0,94.0,300.867,12.88,20.2
K00117.01,PROB,KIC 10875245,1.0,4.1e-51,1.24e-05,297.0282,2572.0,KIC 10875250,0.021,1.0,2.227e-07,5.6e-51,0.021,0.82,138.7787,48.2101,14.75,KIC,dr25,1.0,KIC,7.83e-06,48.2086,505159.0,427.0,297.0291,12.49,17.1
K00117.02,PROB,KIC 10875245,1.0,1.4e-12,6.006e-05,297.0282,891.0,KIC 10875250,0.048,0.97,2.522e-06,2.2e-12,0.048,0.82,133.7038,48.2101,4.9,KIC,dr25,1.0,KIC,7.83e-06,48.2086,153375.0,136.0,297.0291,12.49,17.1
K00117.03,PROB,KIC 10875245,1.0,6.5e-19,2.314e-05,297.0282,773.0,KIC 10875250,0.044,1.0,8.846e-07,4.7e-19,0.044,0.82,133.5011,48.2101,3.18,KIC,dr25,1.0,KIC,7.83e-06,48.2086,141917.0,119.0,297.0291,12.49,17.1
K00117.04,PROB,KIC 10875245,0.96,0.042,0.000217,297.0282,363.0,KIC 10875250,0.025,0.22,4.918e-06,0.0021,0.025,0.82,137.8136,48.2101,7.96,KIC,dr25,0.96,KIC,7.83e-06,48.2086,68717.0,50.0,297.0291,12.49,17.1
K00118.01,PROB,KIC 3531558,0.94,0.061,1.085e-05,287.3628,1737.0,hiresKIC 22000066,0.016,1.0,1.607e-07,0.0033,0.016,0.86,138.6807,38.6493,24.99,KIC,dr25,0.94,hiresKIC,5.648e-06,38.6496,122465.0,265.0,287.3625,12.38,17.0
K00119.01,PROB,hiresKIC 22000649,0.56,0.44,2.979e-05,294.5595,27993.0,KIC 9471974,0.026,0.94,1.161e-06,0.026,0.026,0.83,141.9118,46.0623,49.18,hiresKIC,dr25,0.44,KIC,7.434e-06,46.0622,20815.0,1655.0,294.5592,12.96,12.65
K00119.02,PROB,hiresKIC 22000649,0.86,0.14,1.568e-05,294.5595,2230.0,KIC 9471974,0.01,0.92,2.964e-07,0.01,0.018,0.83,312.6753,46.0623,190.32,hiresKIC,dr25,0.14,KIC,7.434e-06,46.0622,1656.0,1143.0,294.5592,12.96,12.65
K00120.01,PROB,KIC 11869052,0.4,0.26,5.148e-05,294.4019,3261.0,UKIRT 44117904968420,0.0088,0.88,9.142e-07,0.0077,0.0088,0.86,137.9019,50.1719,20.55,KIC,dr25,0.4,UKIRT,5.069e-06,50.1721,15313.0,176.0,294.4022,12.0,13.66
K00121.01,PROB,hiresKIC 22000054,1.0,3.5e-14,3.039e-06,294.4611,2210720.0,hiresKIC 22000055,5.7e-103,1.0,7.719e-08,1.2e-14,0.029,0.73,136.4561,38.3825,8.81,hiresKIC,dr25,2.3e-101,hiresKIC,1.343e-05,38.3827,2493420.0,395.0,294.4607,19.95,20.07
K00122.01,PROB,KIC 8349582,1.0,3.4e-96,1.348e-06,284.4824,3739.0,UKIRT 44117910949226,0.012,1.0,1.388e-08,6.7e-96,0.012,0.92,131.9702,44.397,11.52,KIC,dr25,1.0,UKIRT,3.405e-06,44.398,2596330.0,504.0,284.4816,12.35,19.45
K00123.01,PROB,KIC 5094751,1.0,3.5e-56,5.749e-06,290.3927,2465.0,KIC 5094747,0.022,1.0,1.102e-07,4.4e-56,0.022,0.83,135.9422,40.2828,6.48,KIC,dr25,1.0,KIC,6.962e-06,40.2849,397538.0,290.0,290.3918,12.37,15.76
K00123.02,PROB,KIC 5094751,1.0,3.6e-49,8.297e-06,290.3927,2749.0,KIC 5094747,0.023,1.0,1.678e-07,1.6e-48,0.023,0.83,137.5735,40.2828,21.22,KIC,dr25,1.0,KIC,6.962e-06,40.2849,403140.0,367.0,290.3918,12.37,15.76
K00124.01,PROB,KIC 11086270,1.0,7.2e-08,8.557e-06,292.9291,1730.0,hiresKIC 22000786,0.019,1.0,1.406e-07,2.8e-08,0.019,0.87,137.126,48.6033,12.69,KIC,dr25,1.0,hiresKIC,5.79e-06,48.6028,1395622.0,250.0,292.9285,12.94,20.2
K00124.02,PROB,KIC 11086270,1.0,1e-06,1.007e-05,292.9291,2444.0,hiresKIC 22000786,0.015,1.0,1.277e-07,1.8e-07,0.015,0.87,142.8192,48.6033,31.72,KIC,dr25,1.0,hiresKIC,5.79e-06,48.6028,1970435.0,352.0,292.9285,12.94,20.2
K00125.01,PROB,KIC 11449844,1.0,,3e-07,288.9022,175788.0,,0.00071,1.0,1.855e-10,,0.00071,0.91,151.8527,,38.48,KIC,dr25,1.0,,5.199e-06,49.3705,,23552.0,,13.78,
K00126.01,PROB,KIC 5897826,0.63,0.37,1.797e-06,297.4759,136743.0,hiresKIC 22000285,0.013,1.0,3.105e-08,0.0087,0.013,0.7,134.6793,41.1144,33.8,KIC,dr25,0.63,hiresKIC,1.58e-05,41.1143,335164.0,13226.0,297.4759,13.11,14.08
K00126.02,PROB,hiresKIC 22000285,0.38,0.35,0.0001439,297.4759,12437.0,KIC 5897826,0.01,0.22,3.114e-06,0.01,0.01,0.7,131.8542,41.1143,0.88,hiresKIC,dr25,0.35,KIC,1.58e-05,41.1144,5070.0,35.0,297.4759,14.08,13.11
K00127.01,PROB,KIC 8359498,1.0,,3.913e-07,289.608,93866.0,,0.00011,1.0,3.598e-11,,0.00011,0.87,134.0304,,3.58,KIC,dr25,1.0,,6.961e-06,44.3454,,11387.0,,13.94,
K00128.01,PROB,KIC 11359879,1.0,6.4e-101,5.489e-06,296.2006,96979.0,KIC 11359883,0.036,1.0,1.717e-07,2e-102,0.036,0.84,136.3295,49.1399,4.94,KIC,dr25,1.0,KIC,8.532e-06,49.1401,988953.0,11135.0,296.2026,13.76,15.99
K00129.01,PROB,KIC 11974540,1.0,2.4e-101,1.782e-06,297.0094,72591.0,KIC 11974545,0.024,1.0,3.641e-08,4.8e-103,0.024,0.84,132.8642,50.3716,24.67,KIC,dr25,1.0,KIC,7.536e-06,50.3723,1248375.0,7410.0,297.0115,13.22,15.83
K00129.02,PROB,KIC 11974540,1.0,0.0017,0.0003624,297.0094,1061.0,KIC 11974545,0.14,0.39,4.408e-05,0.0039,0.14,0.84,221.811,50.3716,143.2,KIC,dr25,1.0,KIC,7.536e-06,50.3723,21575.0,189.0,297.0115,13.22,15.83
K00130.01,PROB,KIC 5297298,1.0,,1.038e-06,297.3603,109593.0,,0.0019,1.0,1.746e-09,,0.0019,0.69,155.2966,,34.19,KIC,dr25,1.0,,1.698e-05,40.4298,,13755.0,,13.32,
K00131.01,PROB,KIC 7778437,1.0,8.6e-102,1.476e-06,299.0975,55879.0,KIC 7778426,0.0034,1.0,4.298e-09,2.5e-104,0.0034,0.71,133.1747,43.4979,5.01,KIC,dr25,1.0,KIC,1.708e-05,43.4976,2520485.0,6561.0,299.0946,13.8,16.14
K00132.01,PROB,KIC 8892910,1.0,1.4e-101,1.356e-06,294.4125,52495.0,KIC 8892904,0.018,1.0,2.092e-08,2.2e-103,0.018,0.82,132.9516,45.1325,10.81,KIC,dr25,1.0,KIC,9.567e-06,45.1309,2268037.0,6150.0,294.4118,13.79,17.71
K00133.01,MATCH,KIC 11673674,0.23,1.5e-33,0.7708,297.3101,40917.0,KIC 11673665,0.023,1.0,0.01706,1.3e-33,0.023,0.83,133.386,49.7016,4.62,KIC,dr25,0.23,KIC,8.774e-06,49.703,724745.0,4248.0,297.3079,13.65,16.38
K00134.01,PROB,KIC 9032900,1.0,,4.931e-05,295.5866,12773.0,,0.019,0.24,8.223e-07,,0.019,0.8,150.8857,,67.69,KIC,dr25,1.0,,1.021e-05,45.365,,402.0,,13.68,
K00135.01,PROB,KIC 9818381,1.0,,2.877e-07,285.2409,63235.0,,0.0011,1.0,2.76e-10,,0.0011,0.92,132.4167,,3.02,KIC,dr25,1.0,,4.91e-06,46.6683,,7775.0,,13.96,
K00136.01,PROB,KIC 7601633,1.0,,5.086e-07,289.8735,42439.0,,0.01,1.0,4.618e-09,,0.01,0.86,131.7318,,15.66,KIC,dr25,1.0,,6.7e-06,43.2038,,5117.0,,13.44,
K00137.01,PROB,KIC 8644288,1.0,9.3e-102,1.231e-06,298.0794,20472.0,KIC 8644285,0.004,1.0,4.212e-09,3.2e-104,0.004,0.75,135.409,44.7478,7.64,KIC,dr25,1.0,KIC,1.326e-05,44.7463,1242359.0,2258.0,298.0791,13.55,17.46
K00137.02,PROB,KIC 8644288,1.0,1.3e-101,1.66e-06,298.0794,26493.0,KIC 8644285,0.011,1.0,1.517e-08,1.1e-103,0.011,0.75,143.0131,44.7478,14.86,KIC,dr25,1.0,KIC,1.326e-05,44.7463,1276574.0,3260.0,298.0791,13.55,17.46
